Fecha,Precio,EMA200,Regimen,Hurst_Score,Señal_CarryTrade,Confianza_CarryTrade,Señal_SMC,Confianza_SMC,Estructura_SMC,OB_Tipo_SMC,Decision_Claude,Consenso_Recomendacion,Confianza_Consenso,Posicion_Activa,Razon_de_Salida,PnL_Trade,Culpable_Perdida,FLAG_NOISE,POI_Quality,Lesson_Learned,OBI_Score
2026-01-02 18:59:59,89703.2,88109.98,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-02 19:59:59,89852.9,88127.32,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-02 20:59:59,89694.1,88142.91,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-02 21:59:59,90030.9,88161.7,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-02 22:59:59,90156.2,88181.54,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-02 23:59:59,89934.0,88198.98,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 00:59:59,90102.2,88217.92,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 01:59:59,90247.1,88238.11,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 02:59:59,90302.9,88258.65,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 03:59:59,90282.1,88278.79,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 04:59:59,90121.1,88297.12,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 05:59:59,89991.9,88313.98,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 06:59:59,89845.2,88329.22,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 07:59:59,89558.3,88341.45,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 08:59:59,89624.3,88354.21,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 09:59:59,89747.3,88368.07,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 10:59:59,89716.8,88381.49,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 11:59:59,89703.2,88394.64,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 12:59:59,89961.6,88410.24,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 13:59:59,89953.5,88425.59,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 14:59:59,90063.7,88441.89,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 15:59:59,89923.9,88456.64,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 16:59:59,90051.1,88472.5,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 17:59:59,90022.4,88487.93,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 18:59:59,90099.7,88503.96,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 19:59:59,90055.4,88519.4,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 20:59:59,90300.0,88537.12,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 21:59:59,90503.7,88556.69,NOISE,0.0,neutral,0.3,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 22:59:59,90534.4,88576.36,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-03 23:59:59,90590.1,88596.4,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 00:59:59,91291.3,88623.22,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 01:59:59,91191.9,88648.78,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 02:59:59,91084.2,88673.01,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 03:59:59,91199.4,88698.15,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 04:59:59,91358.4,88724.62,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 05:59:59,91451.6,88751.75,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 06:59:59,91200.0,88776.11,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 07:59:59,91476.2,88802.98,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 08:59:59,91316.8,88827.99,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 09:59:59,91411.8,88853.7,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 10:59:59,91532.4,88880.35,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 11:59:59,91252.0,88903.95,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 12:59:59,91100.1,88925.81,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 13:59:59,91210.1,88948.53,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 14:59:59,91274.9,88971.68,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 15:59:59,91288.6,88994.74,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 16:59:59,91285.2,89017.53,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 17:59:59,91304.6,89040.28,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 18:59:59,91165.0,89061.43,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
2026-01-04 19:59:59,91116.6,89081.88,NOISE,0.0,long,0.8,neutral,0.0,N/A,None,HOLD,neutral,0.0,NINGUNA,,,,⚠️ PROHIBIR_OPERAR,,,0.0
